anio,mes,indice_tiempo,provincia,concepto,cantidad_mm3
2010,2,2010-02,Rio Negro,Producción convencional,50796.90800000
2010,2,2010-02,Rio Negro,Shale gas,0
2010,2,2010-02,Rio Negro,Tight gas,9507.298
2010,2,2010-02,Salta,Producción convencional,438312.865
2010,2,2010-02,Salta,Shale gas,0
2010,2,2010-02,Salta,Tight gas,0
2010,2,2010-02,San Juan,Producción convencional,0
2010,2,2010-02,San Juan,Shale gas,0
2010,2,2010-02,San Juan,Tight gas,0
2010,2,2010-02,Santa Cruz,Producción convencional,370774.4646
2010,2,2010-02,Santa Cruz,Shale gas,0
2010,2,2010-02,Santa Cruz,Tight gas,2385.812
2010,2,2010-02,Tierra del Fuego,Producción convencional,316003.098
2010,2,2010-02,Tierra del Fuego,Shale gas,0
2010,2,2010-02,Tierra del Fuego,Tight gas,0
2010,3,2010-03,Chubut,Producción convencional,291287.6964
2010,3,2010-03,Chubut,Shale gas,0
2010,3,2010-03,Chubut,Tight gas,0
2010,3,2010-03,Estado Nacional,Producción convencional,275480.215
2010,3,2010-03,Estado Nacional,Shale gas,0
2010,3,2010-03,Estado Nacional,Tight gas,0
2010,3,2010-03,Formosa,Producción convencional,3133.59
2010,3,2010-03,Formosa,Shale gas,0
2010,3,2010-03,Formosa,Tight gas,0
2010,3,2010-03,Jujuy,Producción convencional,405.390000
2010,3,2010-03,Jujuy,Shale gas,0
2010,3,2010-03,Jujuy,Tight gas,0
2010,3,2010-03,La Pampa,Producción convencional,38799.160
2010,3,2010-03,La Pampa,Shale gas,0
2010,3,2010-03,La Pampa,Tight gas,0
2010,3,2010-03,Mendoza,Producción convencional,190038.4703
2010,3,2010-03,Mendoza,Shale gas,0
2010,3,2010-03,Mendoza,Tight gas,0
2010,3,2010-03,Neuquén,Producción convencional,1787758.43068000
2010,3,2010-03,Neuquén,Shale gas,1590.826
2010,3,2010-03,Neuquén,Tight gas,80917.44442
2010,3,2010-03,Rio Negro,Producción convencional,56137.60300000
